startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,37.864,right,1,0.929,0,0,0,3,1,>>>>>,congruent,right,1,001,2023-03-19_02h59.27.899,flanker-basic,2021.2.3,MacIntel,55.55555556
,,left,1,0.482,0,1,1,0,1,<<<<<,congruent,left,1,001,2023-03-19_02h59.27.899,flanker-basic,2021.2.3,MacIntel,55.55555556
,,left,1,0.867,0,2,2,9,1,>><>>,incongruent,left,1,001,2023-03-19_02h59.27.899,flanker-basic,2021.2.3,MacIntel,55.55555556
,,left,1,0.531,0,3,3,6,1,<<<<<,congruent,left,1,001,2023-03-19_02h59.27.899,flanker-basic,2021.2.3,MacIntel,55.55555556
,,left,1,0.433,0,4,4,4,1,<<<<<,congruent,left,1,001,2023-03-19_02h59.27.899,flanker-basic,2021.2.3,MacIntel,55.55555556
,,right,1,0.565,0,5,5,8,1,<<><<,incongruent,right,1,001,2023-03-19_02h59.27.899,flanker-basic,2021.2.3,MacIntel,55.55555556
,,left,1,0.399,0,6,6,2,1,<<<<<,congruent,left,1,001,2023-03-19_02h59.27.899,flanker-basic,2021.2.3,MacIntel,55.55555556
,,right,1,0.446,0,7,7,5,1,>>>>>,congruent,right,1,001,2023-03-19_02h59.27.899,flanker-basic,2021.2.3,MacIntel,55.55555556
,,right,1,0.433,0,8,8,7,1,>>>>>,congruent,right,1,001,2023-03-19_02h59.27.899,flanker-basic,2021.2.3,MacIntel,55.55555556
,,right,1,0.373,0,9,9,1,1,>>>>>,congruent,right,1,001,2023-03-19_02h59.27.899,flanker-basic,2021.2.3,MacIntel,55.55555556
