startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,9.986,right,1,0.976,0,0,0,8,1,<<><<,incongruent,right,gab,001,2022-08-10_11h15.11,flanker-basic,2021.2.3,MacIntel,62.5
,,right,1,0.429,0,1,1,3,1,>>>>>,congruent,right,gab,001,2022-08-10_11h15.11,flanker-basic,2021.2.3,MacIntel,62.5
,,right,1,0.351,0,2,2,1,1,>>>>>,congruent,right,gab,001,2022-08-10_11h15.11,flanker-basic,2021.2.3,MacIntel,62.5
,,left,1,0.453,0,3,3,6,1,<<<<<,congruent,left,gab,001,2022-08-10_11h15.11,flanker-basic,2021.2.3,MacIntel,62.5
,,right,1,0.404,0,4,4,7,1,>>>>>,congruent,right,gab,001,2022-08-10_11h15.11,flanker-basic,2021.2.3,MacIntel,62.5
,,left,1,0.406,0,5,5,2,1,<<<<<,congruent,left,gab,001,2022-08-10_11h15.11,flanker-basic,2021.2.3,MacIntel,62.5
,,left,1,0.35,0,6,6,4,1,<<<<<,congruent,left,gab,001,2022-08-10_11h15.11,flanker-basic,2021.2.3,MacIntel,62.5
,,right,1,0.434,0,7,7,5,1,>>>>>,congruent,right,gab,001,2022-08-10_11h15.11,flanker-basic,2021.2.3,MacIntel,62.5
,,left,1,0.502,0,8,8,9,1,>><>>,incongruent,left,gab,001,2022-08-10_11h15.11,flanker-basic,2021.2.3,MacIntel,62.5
,,left,1,0.328,0,9,9,0,1,<<<<<,congruent,left,gab,001,2022-08-10_11h15.11,flanker-basic,2021.2.3,MacIntel,62.5
