startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,5.7976,right,1,0.3945,0,0,0,7,1,>>>>>,congruent,right,45870853,001,2022-06-12_19h48.40.295,flanker-basic,2021.2.3,Win32,59.97001499
,,left,1,0.3857,0,1,1,4,1,<<<<<,congruent,left,45870853,001,2022-06-12_19h48.40.295,flanker-basic,2021.2.3,Win32,59.97001499
,,left,1,0.3387,0,2,2,6,1,<<<<<,congruent,left,45870853,001,2022-06-12_19h48.40.295,flanker-basic,2021.2.3,Win32,59.97001499
,,left,1,0.3682,0,3,3,2,1,<<<<<,congruent,left,45870853,001,2022-06-12_19h48.40.295,flanker-basic,2021.2.3,Win32,59.97001499
,,right,1,0.3505,0,4,4,5,1,>>>>>,congruent,right,45870853,001,2022-06-12_19h48.40.295,flanker-basic,2021.2.3,Win32,59.97001499
,,left,1,0.3488,0,5,5,0,1,<<<<<,congruent,left,45870853,001,2022-06-12_19h48.40.295,flanker-basic,2021.2.3,Win32,59.97001499
,,right,1,0.3493,0,6,6,1,1,>>>>>,congruent,right,45870853,001,2022-06-12_19h48.40.295,flanker-basic,2021.2.3,Win32,59.97001499
,,right,1,0.401,0,7,7,3,1,>>>>>,congruent,right,45870853,001,2022-06-12_19h48.40.295,flanker-basic,2021.2.3,Win32,59.97001499
,,left,1,0.3496,0,8,8,9,1,>><>>,incongruent,left,45870853,001,2022-06-12_19h48.40.295,flanker-basic,2021.2.3,Win32,59.97001499
,,right,1,0.865,0,9,9,8,1,<<><<,incongruent,right,45870853,001,2022-06-12_19h48.40.295,flanker-basic,2021.2.3,Win32,59.97001499
