startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,1.0309,left,1,3.7267,0,0,0,0,1,<<<<<,congruent,left,1,001,2022-09-29_12h31.53.859,flanker-basic,2021.2.3,Win32,59.64096141
,,right,0,0.3437,0,1,1,9,1,>><>>,incongruent,left,1,001,2022-09-29_12h31.53.859,flanker-basic,2021.2.3,Win32,59.64096141
,,right,1,0.3277,0,2,2,5,1,>>>>>,congruent,right,1,001,2022-09-29_12h31.53.859,flanker-basic,2021.2.3,Win32,59.64096141
,,right,0,0.2672,0,3,3,6,1,<<<<<,congruent,left,1,001,2022-09-29_12h31.53.859,flanker-basic,2021.2.3,Win32,59.64096141
,,left,1,0.1364,0,4,4,4,1,<<<<<,congruent,left,1,001,2022-09-29_12h31.53.859,flanker-basic,2021.2.3,Win32,59.64096141
,,left,0,0.2034,0,5,5,1,1,>>>>>,congruent,right,1,001,2022-09-29_12h31.53.859,flanker-basic,2021.2.3,Win32,59.64096141
,,right,0,0.1609,0,6,6,2,1,<<<<<,congruent,left,1,001,2022-09-29_12h31.53.859,flanker-basic,2021.2.3,Win32,59.64096141
,,right,1,0.0043,0,7,7,3,1,>>>>>,congruent,right,1,001,2022-09-29_12h31.53.859,flanker-basic,2021.2.3,Win32,59.64096141
,,right,1,0.3729,0,8,8,8,1,<<><<,incongruent,right,1,001,2022-09-29_12h31.53.859,flanker-basic,2021.2.3,Win32,59.64096141
,,right,1,0.069,0,9,9,7,1,>>>>>,congruent,right,1,001,2022-09-29_12h31.53.859,flanker-basic,2021.2.3,Win32,59.64096141
