startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,12.6931,right,1,0.5645,0,0,0,3,1,>>>>>,congruent,right,1234,001,2022-06-02_10h31.47.561,flanker-basic,2021.2.3,Win32,59.17509912
,,left,0,0.3767,0,1,1,8,1,<<><<,incongruent,right,1234,001,2022-06-02_10h31.47.561,flanker-basic,2021.2.3,Win32,59.17509912
,,right,1,0.4744,0,2,2,7,1,>>>>>,congruent,right,1234,001,2022-06-02_10h31.47.561,flanker-basic,2021.2.3,Win32,59.17509912
,,left,1,0.4068,0,3,3,2,1,<<<<<,congruent,left,1234,001,2022-06-02_10h31.47.561,flanker-basic,2021.2.3,Win32,59.17509912
,,right,1,0.4299,0,4,4,1,1,>>>>>,congruent,right,1234,001,2022-06-02_10h31.47.561,flanker-basic,2021.2.3,Win32,59.17509912
,,left,1,0.4266,0,5,5,6,1,<<<<<,congruent,left,1234,001,2022-06-02_10h31.47.561,flanker-basic,2021.2.3,Win32,59.17509912
,,right,0,0.924,0,6,6,9,1,>><>>,incongruent,left,1234,001,2022-06-02_10h31.47.561,flanker-basic,2021.2.3,Win32,59.17509912
,,left,1,0.491,0,7,7,4,1,<<<<<,congruent,left,1234,001,2022-06-02_10h31.47.561,flanker-basic,2021.2.3,Win32,59.17509912
,,left,1,0.5701,0,8,8,0,1,<<<<<,congruent,left,1234,001,2022-06-02_10h31.47.561,flanker-basic,2021.2.3,Win32,59.17509912
,,right,1,0.4661,0,9,9,5,1,>>>>>,congruent,right,1234,001,2022-06-02_10h31.47.561,flanker-basic,2021.2.3,Win32,59.17509912
