startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,13.193,left,1,0.445,0,0,0,6,1,<<<<<,congruent,left,"""1",001,2022-10-27_10h42.30.756,flanker-basic,2021.2.3,Win32,60.0240096
,,right,1,0.364,0,1,1,1,1,>>>>>,congruent,right,"""1",001,2022-10-27_10h42.30.756,flanker-basic,2021.2.3,Win32,60.0240096
,,right,1,0.519,0,2,2,5,1,>>>>>,congruent,right,"""1",001,2022-10-27_10h42.30.756,flanker-basic,2021.2.3,Win32,60.0240096
,,left,0,2.698,0,3,3,8,1,<<><<,incongruent,right,"""1",001,2022-10-27_10h42.30.756,flanker-basic,2021.2.3,Win32,60.0240096
,,right,1,0.483,0,4,4,7,1,>>>>>,congruent,right,"""1",001,2022-10-27_10h42.30.756,flanker-basic,2021.2.3,Win32,60.0240096
,,left,1,0.432,0,5,5,0,1,<<<<<,congruent,left,"""1",001,2022-10-27_10h42.30.756,flanker-basic,2021.2.3,Win32,60.0240096
,,left,1,0.37,0,6,6,4,1,<<<<<,congruent,left,"""1",001,2022-10-27_10h42.30.756,flanker-basic,2021.2.3,Win32,60.0240096
,,right,0,0.434,0,7,7,9,1,>><>>,incongruent,left,"""1",001,2022-10-27_10h42.30.756,flanker-basic,2021.2.3,Win32,60.0240096
,,left,1,0.466,0,8,8,2,1,<<<<<,congruent,left,"""1",001,2022-10-27_10h42.30.756,flanker-basic,2021.2.3,Win32,60.0240096
,,right,1,0.413,0,9,9,3,1,>>>>>,congruent,right,"""1",001,2022-10-27_10h42.30.756,flanker-basic,2021.2.3,Win32,60.0240096
