startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,8.1558,right,1,2.0604,0,0,0,3,1,>>>>>,congruent,right,,001,2022-11-17_22h59.01.725,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,0.583,0,1,1,5,1,>>>>>,congruent,right,,001,2022-11-17_22h59.01.725,flanker-basic,2021.2.3,MacIntel,60.0024001
,,left,1,0.8525,0,2,2,6,1,<<<<<,congruent,left,,001,2022-11-17_22h59.01.725,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,1.0259,0,3,3,8,1,<<><<,incongruent,right,,001,2022-11-17_22h59.01.725,flanker-basic,2021.2.3,MacIntel,60.0024001
,,left,1,0.9218,0,4,4,0,1,<<<<<,congruent,left,,001,2022-11-17_22h59.01.725,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,0.7244,0,5,5,7,1,>>>>>,congruent,right,,001,2022-11-17_22h59.01.725,flanker-basic,2021.2.3,MacIntel,60.0024001
,,left,1,0.7479,0,6,6,9,1,>><>>,incongruent,left,,001,2022-11-17_22h59.01.725,flanker-basic,2021.2.3,MacIntel,60.0024001
,,left,1,0.6045,0,7,7,4,1,<<<<<,congruent,left,,001,2022-11-17_22h59.01.725,flanker-basic,2021.2.3,MacIntel,60.0024001
,,right,1,0.6485,0,8,8,1,1,>>>>>,congruent,right,,001,2022-11-17_22h59.01.725,flanker-basic,2021.2.3,MacIntel,60.0024001
,,left,1,0.6168,0,9,9,2,1,<<<<<,congruent,left,,001,2022-11-17_22h59.01.725,flanker-basic,2021.2.3,MacIntel,60.0024001
