startKey.keys,startKey.rt,key_resp.keys,key_resp.corr,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,condition,response,participant,session,date,expName,psychopyVersion,OS,frameRate
space,2.6587,left,1,0.4176,0,0,0,2,1,<<<<<,congruent,left,999,001,02-23-2023_13h24.43.585,flanker-basic,2021.2.3,MacIntel,59.99880002
,,right,0,0.4384,0,1,1,9,1,>><>>,incongruent,left,999,001,02-23-2023_13h24.43.585,flanker-basic,2021.2.3,MacIntel,59.99880002
,,left,1,0.2999,0,2,2,0,1,<<<<<,congruent,left,999,001,02-23-2023_13h24.43.585,flanker-basic,2021.2.3,MacIntel,59.99880002
,,right,1,0.9808,0,3,3,8,1,<<><<,incongruent,right,999,001,02-23-2023_13h24.43.585,flanker-basic,2021.2.3,MacIntel,59.99880002
,,right,1,0.4685,0,4,4,1,1,>>>>>,congruent,right,999,001,02-23-2023_13h24.43.585,flanker-basic,2021.2.3,MacIntel,59.99880002
,,right,1,0.4341,0,5,5,3,1,>>>>>,congruent,right,999,001,02-23-2023_13h24.43.585,flanker-basic,2021.2.3,MacIntel,59.99880002
,,left,1,0.4485,0,6,6,4,1,<<<<<,congruent,left,999,001,02-23-2023_13h24.43.585,flanker-basic,2021.2.3,MacIntel,59.99880002
,,right,1,0.4769,0,7,7,5,1,>>>>>,congruent,right,999,001,02-23-2023_13h24.43.585,flanker-basic,2021.2.3,MacIntel,59.99880002
,,left,1,0.4471,0,8,8,6,1,<<<<<,congruent,left,999,001,02-23-2023_13h24.43.585,flanker-basic,2021.2.3,MacIntel,59.99880002
,,right,1,0.5649,0,9,9,7,1,>>>>>,congruent,right,999,001,02-23-2023_13h24.43.585,flanker-basic,2021.2.3,MacIntel,59.99880002
